Algorithm,ArrayType,Size,Comparisons,Movements,Time(us)
InsertionSort,Sorted,10,9,9,0
InsertionSort,Reversed,10,45,54,2
InsertionSort,AlmostSorted,10,10,10,1
InsertionSort,Random,10,29,32,1
BubbleSort,Sorted,10,45,0,0
BubbleSort,Reversed,10,45,0,0
BubbleSort,AlmostSorted,10,45,0,0
BubbleSort,Random,10,45,0,0
HeapSort,Sorted,10,72,31,2
HeapSort,Reversed,10,72,31,4
HeapSort,AlmostSorted,10,72,31,2
HeapSort,Random,10,74,32,2
MergeSort,Sorted,10,19,34,57
MergeSort,Reversed,10,19,34,26
MergeSort,AlmostSorted,10,19,34,19
MergeSort,Random,10,19,34,19
QuickSort,Sorted,10,45,54,20
QuickSort,Reversed,10,45,54,14
QuickSort,AlmostSorted,10,45,54,39
QuickSort,Random,10,34,37,17
ShellSort,Sorted,10,22,22,0
ShellSort,Reversed,10,22,22,1
ShellSort,AlmostSorted,10,22,22,0
ShellSort,Random,10,22,22,0
InsertionSort,Sorted,100,99,99,2
InsertionSort,Reversed,100,4950,5049,63
InsertionSort,AlmostSorted,100,611,611,9
InsertionSort,Random,100,2574,2579,32
BubbleSort,Sorted,100,4950,0,35
BubbleSort,Reversed,100,4950,0,51
BubbleSort,AlmostSorted,100,4950,0,64
BubbleSort,Random,100,4950,0,36
HeapSort,Sorted,100,1382,641,46
HeapSort,Reversed,100,1382,641,51
HeapSort,AlmostSorted,100,1382,641,27
HeapSort,Random,100,1366,633,29
MergeSort,Sorted,100,356,672,113
MergeSort,Reversed,100,356,672,70
MergeSort,AlmostSorted,100,356,672,69
MergeSort,Random,100,356,672,64
QuickSort,Sorted,100,4950,5049,113
QuickSort,Reversed,100,4950,5049,213
QuickSort,AlmostSorted,100,4950,5049,106
QuickSort,Random,100,2953,2965,67
ShellSort,Sorted,100,503,503,10
ShellSort,Reversed,100,503,503,6
ShellSort,AlmostSorted,100,503,503,6
ShellSort,Random,100,503,503,6
InsertionSort,Sorted,1000,999,999,22
InsertionSort,Reversed,1000,499500,500499,3291
InsertionSort,AlmostSorted,1000,58423,58423,1173
InsertionSort,Random,1000,248373,248375,2137
BubbleSort,Sorted,1000,499500,0,1926
BubbleSort,Reversed,1000,499500,0,1868
BubbleSort,AlmostSorted,1000,499500,0,2075
BubbleSort,Random,1000,499500,0,6014
HeapSort,Sorted,1000,20418,9709,524
HeapSort,Reversed,1000,20418,9709,363
HeapSort,AlmostSorted,1000,20418,9709,786
HeapSort,Random,1000,20360,9680,295
MergeSort,Sorted,1000,5044,9976,1045
MergeSort,Reversed,1000,5044,9976,1255
MergeSort,AlmostSorted,1000,5044,9976,1260
MergeSort,Random,1000,5044,9976,1058
QuickSort,Sorted,1000,499500,500499,14591
QuickSort,Reversed,1000,499500,500499,14875
QuickSort,AlmostSorted,1000,499500,500499,7917
QuickSort,Random,1000,313587,313790,5892
ShellSort,Sorted,1000,8006,8006,113
ShellSort,Reversed,1000,8006,8006,115
ShellSort,AlmostSorted,1000,8006,8006,131
ShellSort,Random,1000,8006,8006,101
InsertionSort,Sorted,10000,9999,9999,110
InsertionSort,Reversed,10000,49995000,50004999,343299
InsertionSort,AlmostSorted,10000,5747685,5747687,39527
InsertionSort,Random,10000,25187625,25187633,136907
BubbleSort,Sorted,10000,49995000,0,197974
BubbleSort,Reversed,10000,49995000,0,261051
BubbleSort,AlmostSorted,10000,49995000,0,343574
BubbleSort,Random,10000,49995000,0,523485
HeapSort,Sorted,10000,273914,131957,7132
HeapSort,Reversed,10000,273914,131957,12059
HeapSort,AlmostSorted,10000,273914,131957,7251
HeapSort,Random,10000,272440,131220,12742
MergeSort,Sorted,10000,69008,133616,11158
MergeSort,Reversed,10000,69008,133616,5264
MergeSort,AlmostSorted,10000,69008,133616,6091
MergeSort,Random,10000,69008,133616,4594
QuickSort,Sorted,10000,49995000,50004999,664318
QuickSort,Reversed,10000,49995000,50004999,711241
QuickSort,AlmostSorted,10000,49995000,50004999,1.20629e+06
QuickSort,Random,10000,31794387,31796805,447664
ShellSort,Sorted,10000,120005,120005,859
ShellSort,Reversed,10000,120005,120005,1352
ShellSort,AlmostSorted,10000,120005,120005,2336
ShellSort,Random,10000,120005,120005,2396
InsertionSort,Sorted,100000,99999,99999,2401
InsertionSort,Reversed,100000,4999950000,5000049999,6.64859e+07
InsertionSort,AlmostSorted,100000,577343850,577343850,5.82568e+06
InsertionSort,Random,100000,2502878423,2502878439,3.03005e+07
BubbleSort,Sorted,100000,4999950000,0,3.68037e+07
BubbleSort,Reversed,100000,4999950000,0,1.86222e+07
